cloud_account_id,cloud_device_id,cloud_timestamp,metadata,model,serial,system_status,system_status_int,timestamp,ncpm0x5,ncpm1x0,mcpm1x0,ncpm4x0,tpsize,mcpm2x5_aqi,mcpm10_aqi,mcpm10,ncpm10,fanspd,mcpm2x5,mcpm4x0,ncpm2x5,temp_c,rh_percent,device_id,device_name
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-13T04:01:27.585Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-13 04:00:27+00:00,23.0,27.0,3.0,27.0,0.46,13.0,3.0,3.0,27.0,5999.0,3.0,3.0,27.0,22.5,86.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-13T05:01:27.625Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-13 05:00:27+00:00,26.0,30.0,3.0,30.0,0.49,13.0,3.0,3.0,30.0,5999.0,3.0,3.0,30.0,22.2,86.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-13T06:01:27.659Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-13 06:00:27+00:00,22.0,26.0,3.0,26.0,0.46,13.0,3.0,3.0,26.0,6000.0,3.0,3.0,26.0,22.1,87.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-13T07:01:27.697Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-13 07:00:27+00:00,17.0,19.0,2.0,20.0,0.52,8.0,2.0,2.0,20.0,6000.0,2.0,2.0,20.0,21.8,86.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-13T08:01:27.729Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-13 08:00:27+00:00,12.0,14.0,2.0,14.0,0.48,8.0,2.0,2.0,14.0,5999.0,2.0,2.0,14.0,21.9,86.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-13T09:01:27.772Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-13 09:00:27+00:00,16.0,19.0,2.0,19.0,0.58,8.0,3.0,3.0,19.0,6000.0,2.0,2.0,19.0,21.8,88.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-13T10:01:27.812Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-13 10:00:27+00:00,4.0,5.0,1.0,5.0,0.54,4.0,1.0,1.0,5.0,5999.0,1.0,1.0,5.0,21.7,87.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-13T11:01:27.839Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-13 11:00:27+00:00,4.0,5.0,1.0,5.0,0.58,4.0,1.0,1.0,5.0,5999.0,1.0,1.0,5.0,21.9,86.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-13T12:01:27.887Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-13 12:00:27+00:00,15.0,18.0,2.0,18.0,0.49,8.0,2.0,2.0,18.0,6000.0,2.0,2.0,18.0,22.2,86.0,cv884m3ne4ath43m7hu0,BS-11
csghurush10fmp9n6tv0,cv884m3ne4ath43m7hu0,2025-05-13T13:01:27.915Z,"{'friendly_name': 'BS-11', 'is_indoor': False, 'is_public': False, 'location': {'latitude': 35.99963, 'longitude': -78.931175}}",8143,81432039053,[],0,2025-05-13 13:00:27+00:00,10.0,12.0,1.0,12.0,0.46,4.0,1.0,1.0,12.0,5999.0,1.0,1.0,12.0,22.9,86.0,cv884m3ne4ath43m7hu0,BS-11
